SAMPLE_TYPE,SAMPLE_NAME,"d13C (‰, VPDB)",d13C std dev (‰),"d18O (‰, VPDB)",d18O std dev (‰),% ARAGONITE,% HMC,% LMC ,EASTING,NORTHING,UTM ZONE
Sediment_<63um,E398_0_0<63u,3.594697455,0.072578506,-0.189309147,0.50417816,74.09,19.58,6.32,779245,2786601,17 R
Sediment_<63um,E402_0_0<63u,3.374329717,0.070395598,0.307547185,0.251439268,86.05,13.95,0,780727,2782399,17 R
Sediment_<63um,E406_0_0<63u,3.747304018,0.045926914,0.511365627,0.264918152,87.02,12.98,0,781323,2777770,17 R
Sediment_<63um,E410_0_0<63u,3.671216248,0.038389833,0.35791058,0.238762287,83.53,16.47,0,783239,2772216,17 R
Sediment_<63um,E413_0_0<63u,3.408535679,0.056504501,-0.401699361,0.207711722,61.21,31.34,7.45,779578,2790818,17 R
Sediment_<63um,E420_0_0<63u,2.902271574,0.072211412,-0.40718374,0.41131031,57.6,42.4,0,786284,2789515,17 R
Sediment_<63um,E435_0_0<63u,3.815072205,0.063541715,-0.239871429,0.153156779,58.79,32.55,8.66,784491,2807892,17 R
Sediment_63-125um,E435_0_0_63u,4.46788452,0.085082537,-0.564132117,0.308383295,87.23,12.77,0,784491,2807892,17 R
Sediment_63-125um,E441_0_0_63u,5.051750069,0.069448661,-0.071057391,0.281692763,100,0,0,780185,2803041,17 R
Sediment_<63um,E446_0_0<63u,4.113798068,0.048529647,-0.574047296,0.103540032,74.83,25.17,0,791160,2797119,17 R
Sediment_63-125um,E447_0_0_63u,4.341910174,0.087309258,-0.342669649,0.373136865,78.04,21.96,0,790529,2796342,17 R
Sediment_<63um,E456_0_0<63u,4.140904338,0.069201733,-0.140212531,0.341752572,74.32,25.68,0,788010,2792634,17 R
Sediment_63-125um,E456_0_0_63u,4.805361044,0.0836464,0.160469368,0.182422335,85.4,14.6,0,788010,2792634,17 R
Sediment_<63um,E457_0_0<63u,4.032387542,0.054839275,-0.374184517,0.34919838,72.17,27.83,0,789584,2793025,17 R
Sediment_<63um,E460_0_0<63u,3.712704491,0.070864659,-0.460608254,0.192532367,71.68,28.32,0,793015,2792753,17 R
Sediment_63-125um,E462_0_0_63u,4.701901282,0.068601681,-0.460756079,0.359479237,100,0,0,792282,2795476,17 R
Sediment_<63um,E466_0_0<63u,4.147916776,0.07343103,-0.173189804,0.163887247,71.14,28.86,0,789918,2789414,17 R
Sediment_<63um,E467_0_0<63u,4.140667652,0.089691682,-0.114484381,0.368057115,75.81,24.19,0,788778,2789725,17 R
Sediment_<63um,E470_0_0<63u,4.126981812,0.06084528,-0.366499409,0.162120302,65.81,34.19,0,791308,2791186,17 R
Sediment_63-125um,E472_0_0_63u,4.852578571,0.045336028,-0.144522837,0.256223051,87.92,12.08,0,792675,2796673,17 R
Sediment_63-125um,E473_0_0_63u,4.533408711,0.052356779,-0.060713376,0.186160065,84.86,15.14,0,791964,2797963,17 R
Sediment_<63um,E474_0_0<63u,3.693826885,0.042510077,-0.619464822,0.158298897,75.33,24.67,0,790526,2797775,17 R
Sediment_<63um,E301_00_<63,2.941725563,0.133485834,0.559566777,0.4793062,87.44,12.56,0,782817,2756280,17 R
Sediment_63-125um,E301_00_63,3.017495916,0.046282171,0.433491382,0.255755713,80.48,19.52,0,782817,2756280,17 R
Sediment_<63um,E324_00_<63,3.78924209,0.020500802,-0.210708444,0.266084614,80.11,19.89,0,781733,2763347,17 R
Sediment_63-125um,E319_00_<63,4.599172079,0.167134352,-0.168640375,1.168522164,78.37,21.63,0,772924,2758602,17 R
Sediment_<63um,E436_00_<63,3.772225457,0.052102118,-0.47308837,0.22704096,71,29,0,783329,2807977,17 R
Sediment_<63um,E440_00_<63,4.170108531,0.05364056,-0.56627795,0.148380624,78,22,0,781107,2803880,17 R
Sediment_<63um,E475_00_<63,4.273428003,0.058656439,-0.371379252,0.436002255,78,22,0,787004,2798901,17 R
