Session,Date of Measurement,Sample ID,Temperature,δ13C,δ13C standard deviation,δ18O,δ18O standard deviation,δ47,δ47 standard deviation,Δ47,Δ47 standard error,δ48,δ48 standard deviation,Δ48,Δ48 standard deviation,δ49,δ49 standard deviation,Δ49,Δ49 standard deviation
n/a,"mm/dd/yy, time",n/a,°C,"‰, VPDB",‰,"‰, VPDB",‰,"‰, vs. working gas",‰,"‰, vs. working gas",‰,"‰, vs. working gas",‰,"‰, vs. working gas",‰,"‰, vs. working gas",‰,"‰, vs. working gas",‰
1,6-1-21 11:28 AM,EBOC_25degC,25,-10.80,0.00,38.32,0.01,38.265,0.019,0.042,0.006,99.249,0.116,7.845,0.102,-10.937,0.725,-86.705,0.677
1,6-2-21 11:10 AM,BOC_25degC,25,-10.87,0.00,-0.88,0.01,-1.981,0.023,0.017,0.006,10.876,0.037,0.899,0.034,-0.483,0.429,-3.134,0.421
1,6-3-21 11:27 AM,BOC_hg,1000,-10.53,0.00,-2.03,0.00,-3.691,0.019,-0.846,0.007,8.006,0.107,0.356,0.108,0.055,0.462,-0.639,0.458
1,6-4-21 11:18 AM,EBOC_hg,1000,-10.58,0.00,44.42,0.01,43.844,0.029,-0.809,0.009,113.036,0.093,8.616,0.081,-11.621,0.441,-98.159,0.395
1,6-7-21 1:03 PM,BOC_hg,1000,-10.55,0.00,-1.47,0.00,-3.160,0.023,-0.863,0.007,9.203,0.131,0.432,0.126,-0.126,0.353,-1.911,0.357
1,6-8-21 1:30 PM,EBOC_25degC,25,-11.03,0.00,37.76,0.01,37.465,0.017,0.050,0.004,98.091,0.125,7.870,0.113,-10.507,0.690,-85.107,0.630
1,6-9-21 10:59 AM,BOC_25degC,25,-10.87,0.00,-0.85,0.00,-1.937,0.023,0.031,0.008,10.939,0.077,0.901,0.082,-0.500,0.248,-3.210,0.245
1,6-10-21 12:24 PM,EBOC_25degC,25,-10.57,0.00,38.22,0.00,38.375,0.025,0.024,0.008,99.062,0.092,7.872,0.084,-10.332,0.378,-86.179,0.351
1,6-11-21 10:44 AM,EBOC_hg,1000,-10.47,0.00,40.71,0.01,40.135,0.016,-0.823,0.006,104.561,0.109,8.088,0.097,-10.832,0.534,-91.084,0.485
1,6-15-21 11:51 AM,BOC_25degC,25,-10.92,0.00,-1.28,0.00,-2.427,0.021,0.026,0.007,10.058,0.077,0.891,0.080,-1.130,0.421,-2.933,0.414
1,6-16-21 12:48 PM,EBOC_25degC,25,-10.91,0.00,37.86,0.01,37.695,0.029,0.065,0.008,98.326,0.088,7.897,0.074,-18.790,0.679,-93.041,0.620
1,6-17-21 10:40 AM,BOC_hg,1000,-10.49,0.00,-1.74,0.00,-3.359,0.015,-0.848,0.006,8.630,0.094,0.398,0.091,-0.211,0.548,-1.522,0.544
1,6-18-21 10:39 AM,EBOC_hg,1000,-10.51,0.00,42.39,0.01,41.833,0.023,-0.809,0.008,108.305,0.133,8.241,0.114,-11.746,0.470,-94.822,0.420
1,6-21-21 10:50 AM,BOC_25degC,25,-10.96,0.00,-1.35,0.00,-2.526,0.031,0.044,0.010,9.914,0.057,0.901,0.055,-1.001,0.267,-2.611,0.269
1,6-22-21 10:51 AM,EBOC_25degC,25,-10.82,0.00,38.14,0.01,38.067,0.018,0.056,0.004,98.817,0.111,7.799,0.107,-11.009,0.341,-86.432,0.308
1,6-23-21 11:06 AM,BOC_hg,1000,-10.57,0.00,-1.88,0.00,-3.587,0.025,-0.853,0.008,8.350,0.123,0.407,0.125,-0.243,0.319,-1.189,0.314
1,6-24-21 11:07 AM,EBOC_hg,1000,-10.38,0.00,42.11,0.00,41.683,0.033,-0.807,0.011,107.583,0.159,8.121,0.146,-12.071,0.287,-94.755,0.263
1,6-25-21 10:23 AM,BOC_25degC,25,-10.69,0.00,-0.57,0.01,-1.491,0.019,0.008,0.007,11.809,0.082,1.199,0.075,-1.260,0.430,-4.713,0.430
1,6-28-21 11:57 AM,EBOC_25degC,25,-10.77,0.00,38.17,0.01,38.155,0.025,0.056,0.007,99.013,0.078,7.917,0.073,-11.682,0.279,-87.156,0.255
1,6-29-21 1:01 PM,BOC_hg,1000,-10.29,0.00,-1.68,0.00,-3.087,0.016,-0.841,0.005,8.813,0.082,0.452,0.078,-0.183,0.461,-1.827,0.459
1,6-30-21 12:02 PM,BOC_25degC,25,-10.67,0.00,-0.63,0.00,-1.522,0.022,0.033,0.007,11.499,0.105,1.026,0.107,-0.746,0.517,-4.080,0.514
1,7-1-21 10:17 AM,EBOC_hg,1000,-10.53,0.00,42.46,0.00,41.861,0.024,-0.828,0.008,108.272,0.125,8.079,0.112,-12.796,0.203,-95.883,0.183
1,7-2-21 11:21 AM,EBOC_25degC,25,-10.64,0.00,38.42,0.00,38.532,0.019,0.052,0.006,99.410,0.108,7.810,0.098,-11.731,0.549,-87.749,0.503
1,7-6-21 11:06 AM,EBOC_25degC,25,-10.79,0.00,37.98,0.01,37.941,0.034,0.061,0.008,98.363,0.163,7.690,0.128,-11.578,0.427,-86.708,0.411
1,7-7-21 11:13 AM,BOC_25degC,25,-10.76,0.00,-0.74,0.00,-1.740,0.030,0.013,0.010,11.236,0.101,0.985,0.097,-1.107,0.519,-4.133,0.515
1,7-8-21 12:15 PM,BOC_hg,1000,-10.42,0.00,-1.90,0.00,-3.443,0.017,-0.843,0.006,8.376,0.083,0.459,0.082,-0.302,0.300,-1.372,0.296
1,7-12-21 10:05 AM,EBOC_25degC,25,-10.94,0.00,37.48,0.00,37.306,0.028,0.090,0.009,97.396,0.081,7.779,0.070,-11.583,0.460,-85.689,0.423
1,7-13-21 2:22 PM,BOC_hg,1000,-10.45,0.00,-1.72,0.00,-3.293,0.022,-0.843,0.008,8.715,0.094,0.446,0.096,-0.687,0.623,-2.080,0.622
1,7-14-21 10:46 AM,EBOC_hg,1000,-10.48,0.00,40.79,0.01,40.235,0.027,-0.801,0.008,104.559,0.103,7.914,0.094,-11.780,0.697,-92.102,0.632
1,7-15-21 12:34 PM,BOC_25degC,25,-10.93,0.00,-1.09,0.00,-2.236,0.021,0.034,0.007,10.500,0.099,0.957,0.096,-0.977,0.438,-3.141,0.434
1,7-19-21 10:49 AM,BOC_25degC,25,-10.64,0.00,-0.62,0.00,-1.489,0.022,0.019,0.007,11.435,0.055,0.932,0.055,-0.956,0.478,-4.353,0.483
1,7-21-21 1:24 PM,EBOC_25degC,25,-10.92,0.00,37.89,0.00,37.710,0.025,0.058,0.009,98.237,0.132,7.766,0.118,-10.921,0.498,-85.811,0.459
1,7-30-21 11:53 AM,BOC_hg,1000,-10.62,0.00,-1.99,0.00,-3.748,0.017,-0.850,0.006,8.118,0.091,0.396,0.090,-0.410,0.334,-1.082,0.335
1,8-2-21 11:00 AM,EBOC_hg,1000,-10.30,0.00,42.06,0.00,41.698,0.026,-0.808,0.008,107.336,0.108,8.000,0.092,-13.159,0.753,-95.729,0.690
1,8-4-21 4:05 PM,BOC_25degC,25,-10.83,0.00,-1.03,0.01,-2.070,0.021,0.039,0.006,10.631,0.092,0.957,0.094,-1.206,0.650,-3.596,0.641
1,8-5-21 11:21 AM,EBOC_25degC,25,-10.93,0.00,37.75,0.00,37.559,0.013,0.066,0.003,97.737,0.123,7.565,0.120,-12.238,0.497,-86.780,0.452
1,8-11-21 11:29 AM,BOC_25degC,25,-10.90,0.00,-0.99,0.01,-2.105,0.016,0.032,0.006,10.768,0.108,1.025,0.104,-2.170,0.703,-4.559,0.686
1,8-12-21 12:10 PM,EBOC_25degC,25,-10.84,0.00,37.96,0.01,37.879,0.016,0.071,0.007,98.243,0.072,7.620,0.064,-12.071,0.460,-87.083,0.412
