Session,Date of Measurement,Sample ID,Short Name,δ13C,δ13C,δ13C standard deviation,δ18Omineral,δ18Omineral,δ18Omineral,δ18O standard deviation,δ47,δ47 standard deviation,Δ47,Δ47,Δ47,Δ47 standard error,δ48,δ48 standard deviation,Δ48,Δ48 standard deviation,δ49,δ49 standard deviation,Δ49 ,Δ49 standard deviation
n/a,"mm/dd/yy, time",n/a,n/a,"‰, VPDB","‰, VPDB, corrected to standards",‰,"‰, VPDB","‰, VPDB, corrected to standards","‰, VSMOW, corrected to standards",‰,"‰, vs. working gas",‰,"‰, vs. working gas","‰, CDES","‰, I-CDES",‰,"‰, vs. working gas",‰,"‰, vs. working gas",‰,"‰, vs. working gas",‰,"‰, vs. working gas",‰
1,7-12-21 5:00 PM,Maloof_047-10_A1,Maloof_047-10,3.26,3.04,0.00,-0.80,-0.49,30.41,0.00,20.145,0.012,-0.296,0.571,0.585,0.004,29.275,0.079,2.388,0.078,-4.845,0.632,-37.482,0.610
1,7-12-21 8:24 PM,Maloof_047-280_A2,Maloof_047-280,4.08,3.86,0.00,-0.37,-0.06,30.85,0.00,21.412,0.020,-0.289,0.578,0.592,0.007,30.230,0.066,2.461,0.068,-5.433,0.625,-39.656,0.605
1,7-12-21 11:49 PM,Maloof_016-4_A3,Maloof_016-4,3.48,3.27,0.00,-0.76,-0.45,30.45,0.00,20.424,0.018,-0.287,0.581,0.595,0.006,29.354,0.119,2.375,0.116,-4.823,0.518,-37.763,0.504
1,7-13-21 3:13 AM,Maloof_016-510_A4,Maloof_016-510,4.75,4.54,0.00,0.03,0.34,31.26,0.00,22.507,0.021,-0.281,0.585,0.599,0.007,31.172,0.094,2.570,0.096,-5.649,0.597,-41.281,0.571
1,7-13-21 6:38 AM,Maloof_014-565_A5,Maloof_014-565,1.94,1.72,0.00,3.21,3.54,34.56,0.00,23.084,0.013,-0.246,0.621,0.636,0.005,38.210,0.139,3.045,0.139,-5.491,0.496,-44.523,0.474
1,7-30-21 6:41 PM,Maloof_016-510_B4,Maloof_016-510,4.77,4.56,0.00,-0.05,0.26,31.18,0.00,22.445,0.026,-0.282,0.585,0.599,0.008,30.997,0.114,2.554,0.114,-5.844,0.793,-41.340,0.764
1,7-30-21 10:07 PM,Maloof_047-280_B2,Maloof_047-280,4.12,3.90,0.00,-0.40,-0.09,30.82,0.00,21.437,0.022,-0.271,0.597,0.611,0.007,30.125,0.103,2.419,0.101,-5.437,0.606,-39.640,0.582
1,7-31-21 4:56 AM,Maloof_014-565_B5,Maloof_014-565,1.90,1.68,0.00,3.25,3.58,34.60,0.00,23.093,0.025,-0.233,0.634,0.650,0.008,38.312,0.052,3.061,0.050,-6.383,0.551,-45.413,0.524
1,7-31-21 8:21 AM,Maloof_016-4_B3,Maloof_016-4,3.43,3.22,0.00,-0.84,-0.53,30.36,0.00,20.271,0.020,-0.300,0.568,0.582,0.006,29.203,0.094,2.400,0.097,-5.507,0.925,-38.212,0.890
