DEPTH [CM],"d13C (‰, vpdb)",d13C st dev (‰),"d18O (‰, vpdb)",d18O std dev (‰),% ARAGONITE,% HMC,% LMC,"d44Ca (‰, SW)",d44Ca 2 S.E. (‰),Li/(Ca+Mg) (umol/mol),B/(Ca+Mg) (umol/mol),Na/(Ca+Mg) (umol/mol),Mg/(Ca+Mg) (mole %),Al/(Ca+Mg) (umol/mol),P/(Ca+Mg) (umol/mol),K/(Ca+Mg) (umol/mol),Ca/(Ca+Mg) (mole %),Mn/(Ca+Mg) (umol/mol),Fe/(Ca+Mg) (umol/mol),Rb/(Ca+Mg) (umol/mol),Sr/(Ca+Mg) (umol/mol),U/(Ca+Mg) (umol/mol),Li/Ca (umol/mol),B/Ca (umol/mol),Na/Ca (umol/mol),Mg/Ca (mmol/mol),Al/Ca (umol/mol),P/Ca (umol/mol),K/Ca (umol/mol),Mn/Ca (umol/mol),Fe/Ca (umol/mol),Rb/Ca (umol/mol),Sr/Ca (umol/mol),U/Ca (umol/mol),Li/Mg (umol/mol),B/Mg (umol/mol),Na/Mg (umol/mol),Al/Mg (umol/mol),P/Mg (umol/mol),K/Mg (umol/mol),Ca/Mg (mol/mol),Mn/Mg (umol/mol),Fe/Mg (umol/mol),Rb/Mg (umol/mol),Sr/Mg (umol/mol),U/Mg (umol/mol)
3,2.841410726,0.047910954,-0.949604238,0.172775541,52.53698918,16.52864375,30.93436706,,,13.58751253,325.328067,56704.93593,3.706156941,274.0594112,589.8758454,1154.108071,96.29384306,258.6501813,690.5804493,,6242.956518,0.963278363,14.1087718,337.8474155,58880.31376,38.48800993,284.6063812,612.5842638,1198.523887,268.6056575,717.1444368,,6483.244248,1.00035467,367.7692183,8779.399235,1534815.877,7395.47451,15912.70246,31142.96287,25.98239121,6978.632142,18643.69181,,168443.983,25.99044651
10,2.712020322,0.048197572,-0.905080003,0.141604239,57.02497428,16.9194692,26.05555652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1.564980957,0.051524246,-0.565675532,0.086108246,47.50453678,13.3949904,39.10047282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1.567394154,0.062694797,1.030381285,0.12899099,22.77545412,13.96227059,63.2622753,-1.12,0.086679587,22.68068539,215.9384217,56804.37875,3.921420884,948.5897383,1101.108172,2038.967349,96.07857912,750.7173399,818.3900466,,3456.867573,0.489422458,23.60632208,224.7517277,59123.09868,40.81475285,987.3075082,1146.050165,2122.183933,781.3582512,851.7933103,,3597.961213,0.509399712,578.4301804,5506.822215,1448430.498,24189.53398,28079.43014,51998.45516,24.5013551,19143.96713,20869.54726,,88153.33835,12.47997737
25,1.851842825,0.01418159,0.602119883,0.158025011,25.80623462,13.42077391,60.77299147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.225033438,0.04494074,0.708218047,0.090131764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.485672162,0.082335495,0.063326392,0.473511355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.366925542,0.028209224,0.286864445,0.117334096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1.476818575,0.045199118,0.612732282,0.192798015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1.65082649,0.06899549,0.54030382,0.456141789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,1.315886172,0.065125052,0.718225642,0.381481948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,1.516602199,0.054593145,1.02037233,0.097607401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,1.722585659,0.058748695,1.083303497,0.143180813,24.05951324,10.93175397,65.00873279,-1.129520748,0.077821352,18.63443497,217.3892151,61769.04568,3.365572432,665.1010295,822.3772998,2155.147846,96.63442757,818.9240261,581.5912841,,3843.655127,0.5674192,19.28333265,224.9632795,63920.18934,34.82815025,688.2658486,851.020435,2230.234508,847.4484721,601.8191564,,3977.560956,0.587186891,553.8831715,6458.27686,1835843.314,19765.64596,24439.18014,64026.65836,28.71898061,24335.2479,17307.28665,,114197.8228,16.85855988
70,1.746668284,0.073260642,0.847760306,0.130844209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,2.674137251,0.119960037,0.651821683,0.230992121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,1.8231901,0.084962654,0.803538266,0.184906066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,1.68716911,0.110415048,0.780311306,0.531768865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,1.724960641,0.028881277,0.317747692,0.187867359,30.76519204,15.08439606,54.1504119,,,18.87348197,241.6816446,50252.39006,3.423160112,601.1764978,751.7638527,1888.226509,96.57683989,657.4152275,496.8909838,,4244.561034,0.66251519,19.52330459,250.2453274,51982.60285,35.44593399,622.5188846,778.4983922,1955.196636,680.7215263,514.3338939,,4395.014942,0.686023319,567.0358727,7067.949082,1509785.418,17549.10187,21908.17858,55170.59095,28.23515432,19216.76638,14661.98586,,124089.2199,19.34909074
95,1.936584758,0.135013498,0.476705921,0.158104001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,2.05368933,0.091926684,0.100467987,0.156778776,36.80341903,16.43155086,46.76503011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,2.145022173,0.042795584,0.211516793,0.150234031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,1.467063546,0.02537179,2.508120354,0.199016198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,1.460892616,0.036016549,2.160055168,0.213157949,0,0,100,,,8.861390587,80.5741125,34271.27173,1.631032732,90.29899442,1297.943332,789.8496993,98.36896727,2188.692739,1131.633323,,1575.715812,0.388113929,9.008319222,81.91009292,34839.51564,16.58076502,91.79622082,1319.464225,802.9460115,2224.982939,1150.396669,,1601.842386,0.394549155,543.2993719,4940.067169,2101200.734,5536.307927,79578.0064,48426.3549,60.31084806,134190.608,69381.39873,,96608.47274,23.79559415
120,1.352407779,0.031193614,1.720886739,0.245321543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,1.407625696,0.032109968,1.515195498,0.139864949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,2.053262049,0.127961998,3.06569842,0.585211033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,1.40586578,0.060156665,1.426259602,0.196956708,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,1.309191086,0.037616484,1.421291453,0.069883235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,1.266971819,0.03685726,1.371885926,0.157193016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,1.323823663,0.138149641,0.855712057,0.852844513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,1.305589366,0.028072028,1.46245905,0.164330602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,1.155926329,0.033425643,1.314087431,0.147201281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,1.259437982,0.027284295,1.309982635,0.137638242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,1.210197514,0.033330922,1.338580006,0.194654368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,1.241071232,0.043434585,1.188240693,0.094983123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,1.169776524,0.050965066,1.048035382,0.160502178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,1.196291681,0.049008602,1.274391556,0.138794884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,1.083807353,0.072535414,1.279335438,0.183489283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,1.139305738,0.069099607,1.313786885,0.440946435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,1.328738174,0.142207982,2.084766263,1.162057494,0,0,100,-1.20,0.12,14.45241552,145.9820803,46916.04486,1.77005177,572.9664716,3028.972637,1583.511768,98.22994823,908.0284958,1092.749312,,1983.571855,0.453646444,14.71283121,148.6125804,47761.6182,18.01949064,583.2828602,3083.547868,1612.049496,924.3900915,1112.44152,,2019.313713,0.461821361,816.5724804,8247.871122,2650176.709,32396.96118,171149.4308,89455.22877,55.49874596,51304.35358,61734.6526,,112072.6852,25.62911246
210,1.097539652,0.059507692,1.060765404,0.255457579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,1.155260775,0.025052752,1.350197476,0.130130327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,1.266243371,0.029671957,1.231417162,0.184653983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,1.128516845,0.068294684,1.182713652,0.334135257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,1.185640669,0.048787346,0.960226537,0.144511924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,1.041589355,0.049244306,1.018986887,0.174839514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,1.14937153,0.036513629,1.405632858,0.092120172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,1.206186765,0.032964756,0.967947496,0.082687979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,1.202742182,0.053961631,1.265025702,0.248111983,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,1.205296648,0.062662985,1.373492934,0.138756337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,1.287829361,0.113285335,1.231793486,0.369553204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,1.233026543,0.036576177,0.326136852,0.125707248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,1.422355812,0.031324427,0.796496442,0.20647951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,1.405793038,0.048787606,1.58785233,0.187742103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,1.314773905,0.058237313,1.464268365,0.18612174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,1.438766784,0.030921005,1.633083864,0.15407997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,1.342414828,0.058835755,1.344558675,0.130448239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,1.359388781,0.082159511,1.927186174,0.612944395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,1.265822314,0.064040374,1.75480039,0.468977328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,1.159784529,0.044815499,1.581715681,0.199188718,0,0,100,,,14.35159442,130.0874248,36893.98111,1.873664601,229.885115,1662.628842,1622.016376,98.1263354,1453.019631,1044.569289,,1793.672541,0.818345162,14.61942149,132.5706476,37582.49047,19.09459501,234.2864091,1694.414844,1652.992443,1480.77138,1064.44877,,1827.916594,0.833968404,783.3860997,6948.417867,2013869.061,12243.15828,88674.23861,86600.17875,52.39775562,77568.97718,55959.16778,,95792.90131,43.70527926
330,1.255444583,0.03887846,1.767416809,0.111311023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,1.249203251,0.106064215,1.530326426,0.186773168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,1.152297856,0.047348971,1.645610403,0.136138697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,0.96814652,0.078102352,1.118249395,0.077667861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,1.075610234,0.075453787,1.723542833,0.105557001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,1.30355309,0.153716914,1.946600329,0.991570475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,1.281070261,0.074091241,1.742476927,0.541536579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,1.281486137,0.052100936,1.590736041,0.096056842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,1.138978806,0.096106082,1.677298866,0.679718393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,1.136673016,0.083018773,1.132051464,0.133634337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,1.277029609,0.042676504,1.100612271,0.216229387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,1.218622758,0.082714715,1.097243656,0.177827535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,1.236653532,0.122218365,1.186245829,0.785840378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,1.333427008,0.064766946,0.852989831,0.12866935,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,1.105756994,0.070188999,0.496596716,0.142352638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,1.183956063,0.069522576,0.550510022,0.245599441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,1.19126856,0.050220752,1.112928637,0.072694267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,1.585842031,0.226539569,2.521801773,0.368400099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,1.342770886,0.032593886,1.367401507,0.172715132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,1.1879419,0.043289102,1.50069811,0.072757709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,1.218414146,0.048465637,1.553151356,0.155572026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,1.213392335,0.110283569,1.558736784,0.289765803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,1.15816402,0.049088978,1.665205929,0.162025516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,1.161238356,0.031141155,1.661469621,0.077807669,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,1.086574015,0.06880181,1.507899499,0.084262097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,1.152413852,0.09421561,1.643817151,0.239803571,0,0,100,-1.270880185,0.046249747,14.15149501,123.45214,34512.21335,2.871418274,229.0101085,1726.333929,1660.123814,97.12858173,1523.114634,1371.131318,,1647.495948,0.596041309,14.5698818,127.1015947,35532.65787,29.56309606,235.7572332,1777.367469,1709.199507,1568.141182,1411.678587,,1696.200822,0.613664441,492.8300911,4299.70607,1201788.689,8002.22777,60126.13867,57820.76265,33.82732037,53047.6403,47738.60494,,57378.09525,20.75587667
465,1.134348775,0.029131558,1.579783412,0.159222981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
