DEPTH [CM],"d13C (‰, vpdb)",d13C st dev (‰),"d18O (‰, vpdb)",d18O std dev (‰),% ARAGONITE,% HMC,% LMC,MCMC AGE [KA],MCMC LOWER BOUND [KA],MCMC UPPER BOUND [KA],RADIOCARBOON AGE [KA],RADIOCARBON AGE UNCERTAINTY [KA],CALIBRATED  RADIOCARBON AGE (CAL. B.P.) [KA],CALIBRATED  RADIOCARBON AGE 1𝜎 [KA],"d44Ca (‰, SW)",d44Ca 2 S.E. (‰),Li/(Ca+Mg) (umol/mol),B/(Ca+Mg) (umol/mol),Na/(Ca+Mg) (umol/mol),Mg/(Ca+Mg) (mole %),Al/(Ca+Mg) (umol/mol),P/(Ca+Mg) (umol/mol),K/(Ca+Mg) (umol/mol),Ca/(Ca+Mg) (mole %),Mn/(Ca+Mg) (umol/mol),Fe/(Ca+Mg) (umol/mol),Rb/(Ca+Mg) (umol/mol),Sr/(Ca+Mg) (umol/mol),U/(Ca+Mg) (umol/mol),Li/Ca (umol/mol),B/Ca (umol/mol),Na/Ca (umol/mol),Mg/Ca (mmol/mol),Al/Ca (umol/mol),P/Ca (umol/mol),K/Ca (umol/mol),Mn/Ca (umol/mol),Fe/Ca (umol/mol),Rb/Ca (umol/mol),Sr/Ca (umol/mol),U/Ca (umol/mol),Li/Mg (umol/mol),B/Mg (umol/mol),Na/Mg (umol/mol),Al/Mg (umol/mol),P/Mg (umol/mol),K/Mg (umol/mol),Ca/Mg (mol/mol),Mn/Mg (umol/mol),Fe/Mg (umol/mol),Rb/Mg (umol/mol),Sr/Mg (umol/mol),U/Mg (umol/mol)
2,2.968762421,0.035858235,-0.852115584,0.129868848,54.6047503,26.76002076,18.63522894,0.803655257,0.707882418,0.898332607,,,,,-1.271816783,0.083069305,11.63136241,328.2623122,,5.004772641,156.4642587,619.0814743,1076.474514,94.99522736,226.1870891,680.1094175,,6155.601639,1.034568052,12.24424007,345.5567063,,52.68451499,164.7079142,651.6976782,1133.188172,238.103625,715.9422712,,6479.918901,1.089081063,232.3788472,6559.080607,,3126.207155,12369.96694,21509.29094,18.98127602,4519.514264,13588.87072,,122992.3165,20.66936153
6,3.06368215,0.230021831,-0.547932717,1.465977231,,,,0.847814337,0.766189542,0.934483154,,,,,,,,337.3714023,39934.36936,4.872959383,253.1861994,38.61644702,873.729096,95.12704062,256.776548,1012.552996,,6117.639403,1.052188839,8.980880797,315.112683,41308.58412,51.22580658,413.7049092,617.663912,943.0041575,239.4578973,2638.160161,2.174604265,6609.538098,1.060381365,,6923.337048,819509.588,5195.73794,792.4639626,17930.15347,19.52141053,5269.416956,20779.01571,,125542.5897,21.59239912
11,3.034807647,0.040847983,-1.048403305,0.113021776,63.52675479,22.04822103,14.42502418,4.414788093,3.905463376,4.94662576,4.29,0.02,4.42,0.133,,,,324.7479671,42935.53343,4.066396854,254.1835605,,837.159448,95.93360315,297.4271207,361.7646733,,6407.260359,1.12122697,,295.7289162,44019.62076,42.38795939,237.8476504,709.0382914,892.2615833,280.3086188,710.9641728,1.99150635,6733.8235,1.122897826,,7993.721949,1055922.602,6247.243556,,20577.787,23.59628862,7311.278596,8878.617679,,157610.5732,27.5647603
16,2.896853106,0.024656585,-0.828822655,0.104212727,61.9029078,16.69294884,21.40414336,4.650510023,4.199068836,5.128535761,,,,,,,,348.4394497,48741.0756,3.347996613,368.9025973,,693.0511253,96.65200339,380.6720616,,,6204.432901,1.062213647,,274.5008547,46980.626,34.64527786,311.622337,778.7909342,866.9224241,324.8454784,656.9744319,1.066671414,6190.785008,1.017972057,,10520.16558,1460274.9,10949.98083,,22187.38311,29.00335801,11363.41447,,,186057.7864,31.80658031
22,1.965412378,0.025004337,-0.423426823,0.185441076,43.699105,24.28213231,32.0187627,8.060182133,4.75587231,12.62588465,,,,,,,,291.739764,35243.12344,4.531257413,287.1017778,123.6899977,712.7193555,95.46874259,397.009176,601.7095059,,4828.848989,0.769019186,9.685011355,265.9942268,36416.56971,47.46411913,250.2712114,528.6869211,781.7813348,382.3319584,1078.550895,2.426089174,5134.392178,0.773365061,,6447.713277,777820.6674,6335.999354,2702.775858,15700.52688,21.07700057,8760.341037,13257.52514,,106604.7909,16.97632063
29,1.803456975,0.083080124,0.727571128,0.225659177,29.55735995,23.56299439,46.87964566,16.86308993,16.25853768,17.45403935,14.45,0.055,16.86,0.156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2.063279985,0.155388971,1.09504059,0.85134,25.79731315,27.61574054,46.58694631,17.10026494,16.51463551,17.64917292,,,,,,,16.94545689,181.5928592,,5.14648119,294.2528054,1115.052186,880.3126588,94.85351881,595.1704158,695.1229644,,3252.012491,0.407295453,17.86496173,191.4461055,,54.25716968,310.2178959,1175.553577,928.083672,627.4634464,732.8562928,,3428.463688,0.429394105,329.2341592,3528.332443,,5717.67693,21665.85315,17102.63999,18.4309022,11564.43716,13500.77773,,63187.42952,7.914134007
40,1.979077072,0.058032855,0.395630467,0.248362451,,,,20.24536206,16.59466573,32.48994954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.156001113,0.028223032,0.67438074,0.097002341,27.00467632,24.29542279,48.69990089,25.81007589,16.87504909,35.51414239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.220059759,0.070384199,0.48575667,0.33354415,27.26017736,26.81150916,45.92831348,30.51210586,17.22838939,36.46384937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
