DEPTH [CM],"d13C (‰, vpdb)",d13C st dev (‰),"d18O (‰, vpdb)",d18O std dev (‰),% ARAGONITE,% HMC,% LMC,RADIOCARBOON AGE [KA],RADIOCARBON AGE UNCERTAINTY [KA],CALIBRATED  RADIOCARBON AGE (CAL. B.P.) [KA],CALIBRATED  RADIOCARBON AGE 1𝜎 [KA],"d44Ca (‰, SW)",d44Ca 2 S.E. (‰),Li/(Ca+Mg) (umol/mol),B/(Ca+Mg) (umol/mol),Na/(Ca+Mg) (umol/mol),Mg/(Ca+Mg) (mole %),Al/(Ca+Mg) (umol/mol),P/(Ca+Mg) (umol/mol),K/(Ca+Mg) (umol/mol),Ca/(Ca+Mg) (mole %),Mn/(Ca+Mg) (umol/mol),Fe/(Ca+Mg) (umol/mol),Rb/(Ca+Mg) (umol/mol),Sr/(Ca+Mg) (umol/mol),U/(Ca+Mg) (umol/mol),Li/Ca (umol/mol),B/Ca (umol/mol),Na/Ca (umol/mol),Mg/Ca (mmol/mol),Al/Ca (umol/mol),P/Ca (umol/mol),K/Ca (umol/mol),Mn/Ca (umol/mol),Fe/Ca (umol/mol),Rb/Ca (umol/mol),Sr/Ca (umol/mol),U/Ca (umol/mol),Li/Mg (umol/mol),B/Mg (umol/mol),Na/Mg (umol/mol),Al/Mg (umol/mol),P/Mg (umol/mol),K/Mg (umol/mol),Ca/Mg (mol/mol),Mn/Mg (umol/mol),Fe/Mg (umol/mol),Rb/Mg (umol/mol),Sr/Mg (umol/mol),U/Mg (umol/mol)
10,2.937593002,0.049382031,-0.448379233,0.147055073,53.2101398,21.76816137,25.02169883,,,,,,,13.86692109,298.0051025,32424.37877,3.994885953,234.9214511,788.13513,758.324861,96.00511405,476.7033383,888.4907804,,6252.026463,1.040835129,14.44412735,310.4149589,33773.36538,41.61172993,244.702297,820.9439046,789.8873805,496.5453759,925.4258023,,6512.274707,1.084166756,347.1191476,7456.544894,812038.5413,5879.257327,19727.06071,18983.97152,24.03965737,11933.26054,22268.65855,,156496.2555,26.05020931
15,2.682613963,0.029865071,-0.824752824,0.152360711,57.98207285,22.20128025,19.81664691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2.715510599,0.042174068,-0.500219637,0.196455065,57.98476659,19.77366077,22.24157264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2.68980807,0.042070291,-0.567247063,0.164211727,56.35176355,20.52280394,23.12543251,6.88,0.02,7.35,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2.480361436,0.06840294,-0.631275294,0.169063033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2.4981618,0.064466929,-0.38749105,0.158877628,54.36289031,17.98244243,27.65466726,8.31,0.03,8.86,0.138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.744876665,0.057893771,-0.325137744,0.314738874,,,,9.12,0.03,9.89,0.1585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1.194378765,0.056801741,0.189987009,0.145930659,43.67049345,11.30516234,45.02434422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1.384089268,0.050313866,0.66108489,0.06687411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,1.86831924,0.066931086,1.007992916,0.23621099,31.51723779,16.24786115,52.23490107,17.3,0.07,20.19,0.166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.091925609,0.04171768,0.887880152,0.124721636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,2.511166722,0.051152866,0.937071521,0.176189454,32.07321342,23.65302397,44.27376261,,,,,,,15.90778036,223.6106708,58412.97538,4.4974089,331.8547781,981.5095811,856.3669585,95.5025911,593.4837007,806.2814268,,4564.789098,0.989217093,16.65695744,234.1423617,61163.50132,47.09212334,347.4817022,1027.73679,896.6975285,621.4354687,844.251638,,4779.770845,1.035800975,353.7065718,4971.606601,1298997.358,7379.532658,21822.32986,19041.18022,21.23611799,13195.25823,17928.25024,,101495.9125,21.99655173
70,1.792672624,0.067752866,1.079857613,0.269714684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,2.250797803,0.080794296,0.709576614,0.237026011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,2.467894704,0.103937425,1.328444011,0.223535743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,2.320404178,0.079402419,1.489253831,0.165485553,30.16954861,21.48003793,48.35041346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,2.079363086,0.135203712,1.069528643,0.290143137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,1.979911894,0.078309254,1.167441479,0.205784378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1.790420396,0.061309137,1.02608966,0.170345138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,2.019913362,0.054822325,1.242031391,0.143569329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
