DEPTH [CM],"d13C (‰, vpdb)",d13C st dev (‰),"d18O (‰, vpdb)",d18O std dev (‰)
1,3.249227401,0.081385649,-0.456725469,0.131034143
5,3.765277582,0.075659794,-0.392879349,0.171350152
15,3.6869045,0.130040385,-0.347473667,0.138576685
20,3.764895822,0.055086817,-0.215076302,0.126062699
25,3.21502287,0.053318636,-0.160235762,0.107449541
30,3.280570765,0.023613057,-0.261380345,0.080980452
35,2.981872627,0.063164737,-0.491829247,0.216869264
40,1.763658893,0.065341732,0.096977233,0.152472571
45,1.634161777,0.060330558,0.73203052,0.222094238
50,2.256752471,0.053802243,0.388091912,0.177147539
55,3.734788078,0.037356255,0.824402284,0.108681229
60,2.136256148,0.053206995,1.803411821,0.171239562
65,2.502569639,0.043534283,1.680456059,0.148634188
80,2.075399933,0.080028142,1.700985016,0.263916939
85,2.239687032,0.046070478,1.421227564,0.154304776
100,2.699175975,0.068140692,0.923574931,0.22919729
111,2.809392243,0.087096362,0.680723648,0.272914639
115,2.715959286,0.098743414,0.913659369,0.234939658
121,2.836182885,0.036176365,0.986569418,0.12225695
127,2.279312876,0.052335185,1.042778819,0.112286865
129,2.26996972,0.073966823,0.819273193,0.087859985
