DEPTH [CM],"d13C (‰, vpdb)",d13C st dev (‰),"d18O (‰, vpdb)",d18O std dev (‰),% ARAGONITE,% HMC,% LMC,MCMC AGE [KA],MCMC LOWER BOUND [KA],MCMC UPPER BOUND [KA],RADIOCARBOON AGE [KA],RADIOCARBON AGE UNCERTAINTY [KA],CALIBRATED  RADIOCARBON AGE (CAL. B.P.) [KA],CALIBRATED  RADIOCARBON AGE 1𝜎 [KA],"d44Ca (‰, SW)",d44Ca 2 S.E. (‰),Li/(Ca+Mg) (umol/mol),B/(Ca+Mg) (umol/mol),Na/(Ca+Mg) (umol/mol),Mg/(Ca+Mg) (mole %),Al/(Ca+Mg) (umol/mol),P/(Ca+Mg) (umol/mol),K/(Ca+Mg) (umol/mol),Ca/(Ca+Mg) (mole %),Mn/(Ca+Mg) (umol/mol),Fe/(Ca+Mg) (umol/mol),Rb/(Ca+Mg) (umol/mol),Sr/(Ca+Mg) (umol/mol),U/(Ca+Mg) (umol/mol),Li/Ca (umol/mol),B/Ca (umol/mol),Na/Ca (umol/mol),Mg/Ca (mmol/mol),Al/Ca (umol/mol),P/Ca (umol/mol),K/Ca (umol/mol),Mn/Ca (umol/mol),Fe/Ca (umol/mol),Rb/Ca (umol/mol),Sr/Ca (umol/mol),U/Ca (umol/mol),Li/Mg (umol/mol),B/Mg (umol/mol),Na/Mg (umol/mol),Al/Mg (umol/mol),P/Mg (umol/mol),K/Mg (umol/mol),Ca/Mg (mol/mol),Mn/Mg (umol/mol),Fe/Mg (umol/mol),Rb/Mg (umol/mol),Sr/Mg (umol/mol),U/Mg (umol/mol)
5,2.826904886,0.163528963,-1.102759855,0.386238527,50.98832294,24.32456543,24.68711163,0.790946635,0.330778652,1.256185756,,,,,,,14.16135732,348.6741133,40329.7075,4.127736254,440.6142672,440.7785511,1665.329316,95.87226375,469.1365629,3794.78874,8.559146639,6771.183236,0.994522511,14.74839483,363.7433084,42069.04091,43.05634858,459.5900568,459.0899492,1738.019148,489.3713629,3960.954508,8.937708311,7063.532635,1.0373676,355.7968494,8424.272825,976393.6744,10682.55488,11052.47748,39851.05884,23.24921679,11357.07766,90525.33127,202.1316476,163760.3661,24.10341048
10,3.125551547,0.062168404,-0.852885271,0.117604503,,,,0.960227844,0.511592948,1.408635284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2.802091515,0.07612821,-0.903367953,0.182653157,62.19983526,17.92232448,19.87784025,1.605999532,0.561643747,5.535812307,,,,,,,14.45519781,301.5473604,40029.87935,3.861688923,348.039092,722.5199271,808.3601555,96.13831108,278.2589624,801.2919098,,6561.771903,1.123340539,15.034045,313.6588861,41632.84485,40.16806929,362.0196869,751.5472714,840.8270379,289.4363052,833.4611309,,6825.349442,1.168461271,375.4360341,7809.410208,1039671.636,9012.35997,18706.94135,20935.09533,24.89563287,7205.557116,20760.57674,,169918.862,29.09066087
20,2.98228167,0.102617956,-0.953856438,0.257640791,,,,2.816622691,0.659975247,7.012571275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,3.102175612,0.034918562,-0.612385038,0.229570775,,,,4.069343805,0.760321712,7.304016927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2.953734543,0.19277058,-0.791444904,1.429062579,,,,5.246146408,0.889835557,7.486749182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2.596564489,0.161190416,-1.492617481,0.559085166,60.04570377,16.91547083,23.0388254,6.403593677,1.135137965,7.633143354,,,,,,,11.85115193,286.3718188,44356.68155,3.28951689,210.4921504,516.4852559,1279.93177,96.71048311,251.7785921,3732.830922,7.082621663,7078.869432,1.097002399,12.24109177,296.1467388,45867.56614,34.01494978,217.6497243,533.5686321,1323.920735,260.3549998,3861.317463,7.32841823,7320.132094,1.134322373,372.0867915,8682.301654,1347595.598,6405.714712,16137.7193,38543.24744,29.4224282,7649.042745,112238.5715,211.2035068,214941.077,33.36839858
40,2.817643875,0.238387562,-1.004678834,1.416172067,,,,7.613566561,1.665306695,8.032414478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.662634117,0.110516464,-0.695620167,0.185962456,59.52311442,16.22720312,24.24968246,7.656717602,7.266127607,8.043923993,7.23,0.03,7.67,0.0995,,,14.87471023,300.1658686,39171.38012,3.61949319,199.8895337,539.3691899,1300.436692,96.38050681,276.8457683,3503.731078,9.442905112,6587.001339,1.018840764,15.44678861,311.4859584,40644.46592,37.55599967,207.3865521,558.8504219,1350.076809,287.2600034,3638.038124,9.808335575,6835.14381,1.057111687,401.723436,8269.608114,1082165.539,5536.622198,15474.81034,35409.18723,26.66203286,7646.102811,95010.99072,253.6013867,181675.7828,28.17911745
50,2.007635495,0.19684565,-1.364245718,0.453488855,,,,9.329227163,7.678812624,13.17925699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,1.332165564,0.105980345,-0.568920686,0.343247054,41.8869114,16.28973371,41.82335489,10.47324195,8.048899283,14.33374041,,,,,,,16.30436306,248.232909,43651.06957,3.660981075,183.6182734,915.7577314,906.760072,96.33901893,414.1830524,857.8477629,,4665.816555,0.651819867,16.92388513,257.666829,45309.22833,38.00133758,190.6038259,950.5277369,941.142934,429.9225738,889.9553147,,4843.116636,0.6765931,445.4945144,6781.424308,1193027.961,5011.196864,25040.07123,24825.56844,26.32085391,11315.82678,23777.77609,,127479.0715,17.80605486
60,1.360144279,0.09707189,-0.354375421,0.29359747,,,,15.35693109,8.29897444,30.36868412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1.705977639,0.085460252,0.426095839,0.363139051,,,,22.34356845,8.982738863,33.86420251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,1.481121659,0.156732677,0.004655864,0.402307689,,,,34.67513657,10.59716323,36.62696444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,1.60488985,0.09275946,0.579896,0.305350835,30.18774756,15.16412767,54.64812477,35.02629853,33.36060799,36.73464799,31.3,0.41,35.02,0.431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,1.934632909,0.132949179,0.199953657,0.335839629,,,,35.67291066,34.02864621,37.29903716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,2.287891928,0.221581199,-0.399860347,0.935110547,46.00102997,15.80683379,38.19213624,40.05899277,34.22591578,68.65832269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,2.272400412,0.148173961,0.0825869,0.393761845,,,,48.50077072,34.77667069,80.68624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,2.124224594,0.187229281,-0.345000122,0.848597776,,,,57.04399275,35.32159683,87.33096199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,2.124985715,0.086383052,0.297699447,0.272490175,,,,65.36003635,36.14452896,93.07821193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,2.172640008,0.122371427,0.180121331,0.33289708,,,,73.68218229,37.66430484,98.89139419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,2.204802711,0.144642667,-0.05421844,0.463340534,35.88529909,22.26859614,41.84610478,81.8514525,42.14802831,103.754251,,,,,,,12.37135275,241.2872447,33861.54876,4.222132987,133.7485145,618.7733116,1510.869017,95.77786701,507.6506925,3599.247009,8.142653889,4988.259146,0.794648192,12.90117516,251.9589173,35356.25237,44.08422559,139.6425555,645.2367004,1578.250638,530.0584177,3760.162343,8.509898582,5208.636354,0.829673351,301.2424311,5701.493399,801656.4612,3171.546471,15091.90835,35412.05633,22.70448261,12018.92091,84156.11538,188.7273152,117998.986,18.84011609
120,2.275512535,0.175067038,0.145356335,0.535416219,,,,90.11201503,48.88435311,108.1248275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,2.390391039,0.089942557,0.069347799,0.279319338,,,,98.35706876,55.85961575,111.295888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,2.187392943,0.135886042,0.119664996,0.404056594,36.76902224,20.94515143,42.28582633,106.7026029,63.48416883,113.8072727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,2.205448571,0.164657387,-0.02390211,0.415992218,40.77582087,17.83377101,41.39040811,115.3647522,76.27356419,117.7197209,,,,,,,11.80597534,204.2053171,27446.97419,3.802254136,92.12039655,860.7658969,735.6651738,96.19774586,530.0365931,985.9978076,,4816.964461,0.779199949,12.27267352,212.2772026,28531.76973,39.52544851,95.75792016,894.7897932,764.7428063,550.9875433,1024.966445,,5007.378926,0.809997984,310.4696404,5370.436828,721920.707,2425.149329,22637.90491,19348.65403,25.30101588,13939.85047,25934.8998,,126677.1143,20.49387345
140,1.99527808,0.128434429,-0.060303474,0.326478898,,,,115.5000857,113.1967861,117.7634806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,2.218442833,0.080294793,0.267011346,0.304033426,,,,116.0581016,113.7498437,118.2982123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,2.088948147,0.079821861,0.082557925,0.263038214,43.51862314,18.10205562,38.37932125,116.6556399,113.8109395,124.1109062,,,,,,,7.963187417,209.2739055,37931.44479,3.005043135,147.7901959,500.6226273,1257.14323,96.99495686,546.396771,3919.358563,5.62762735,5372.124502,0.807870762,8.2012412,215.778451,39108.26283,30.98243675,152.3881612,515.7398614,1296.458255,563.3423044,4042.048442,5.80502727,5538.840358,0.832906113,274.4138262,6949.320907,1261850.948,4903.348133,17092.42406,41487.99256,32.31136516,18183.24414,129217.3811,184.2156884,178659.5747,26.90526113
155,2.144858939,0.070499825,-0.404837272,0.512436236,,,,117.4331028,114.1035133,127.5619639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,2.365994241,0.137737054,-0.121781152,0.341282778,,,,118.2941481,114.3118993,128.5131418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,2.480532641,0.111363699,-0.099259712,0.269414983,,,,119.1509529,114.4777491,129.1875994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
