DEPTH [CM],"d13C (‰, vpdb)",d13C st dev (‰),"d18O (‰, vpdb)",d18O std dev (‰)
15,2.513420493,0.106047913,-0.245346748,0.247037389
25,2.732387441,0.10178879,-0.529015868,0.281014016
30,2.691518139,0.05342005,-0.549682899,0.192906349
35,2.167712268,0.152465544,-0.199246399,0.342354004
40,1.145451631,0.071569309,0.025823496,0.089429331
45,1.132428049,0.165970184,1.141459605,0.260280538
50,1.543732595,0.118490792,1.999538071,0.207491208
55,1.677881226,0.142301932,1.791409372,0.196613799
60,2.041132639,0.05683666,1.360585142,0.151693436
65,2.267685544,0.174521067,1.112751951,0.31289203
70,1.561138565,0.159739253,1.769468968,0.302513443
75,1.855085612,0.183297529,1.542269404,0.476457111
86,1.728013362,0.179248416,1.666868529,0.220352126
90,1.753854857,0.17844523,1.758372852,0.31745766
95,1.610231901,0.13677966,1.709185142,0.197683141
105,1.794607831,0.099047109,1.917929946,0.161695478
110,2.211043949,0.077199934,2.401373058,0.255499254
115,1.720044737,0.040004372,2.368420097,0.250835808
125,1.683947836,0.058229994,2.728259125,0.249369761
130,1.848901469,0.132421824,2.208560606,0.129660406
135,2.611430073,0.041357342,1.328872818,0.202820254
145,2.242218817,0.132481262,1.341071619,0.215539113
150,2.299895934,0.136884066,1.290902729,0.60924893
155,2.610796606,0.087882285,1.356399348,0.322943272
170,2.382379409,0.065211927,1.004608405,0.290289414
175,2.433938731,0.089279985,1.359066669,0.200546501
185,2.550615035,0.106603372,2.67780976,0.199987218
190,2.489506283,0.112004522,2.412022181,0.254233403
195,2.434222716,0.075510654,2.276118373,0.253817994
200,2.474207644,0.126898275,2.368974671,0.298706494
205,2.029704266,0.094191743,1.916632687,0.171483668
210,2.355101736,0.122194358,1.962442175,0.23092088
215,2.213527087,0.142838125,1.915643272,0.203819697
220,2.224846307,0.068082754,2.336278111,0.177802049
225,2.378814535,0.143080682,2.029787348,0.18529373
230,2.291622213,0.125715064,2.146352437,0.266026593
240,2.437458011,0.07365931,1.805446815,0.115317469
275,2.435911003,0.100391221,1.888355972,0.609172554
310,2.427028879,0.237709345,1.820737861,1.224770851
315,2.395854958,0.061930082,1.152417363,0.244409233
325,2.392941879,0.103685343,1.341881044,0.165055557
330,2.502033088,0.125763649,0.847619886,0.219449021
335,2.392145582,0.084239361,1.138405772,0.189023617
345,1.926272985,0.079027813,2.275984206,0.194882961
350,1.582846343,0.12358743,1.465351664,0.839272814
355,1.68378922,0.087855697,1.664387732,0.204897798
360,1.958707049,0.09287291,1.448968897,0.143206925
365,2.11049965,0.04384346,1.725048288,0.298760155
370,2.241613858,0.099321685,1.035069914,0.245513229
375,2.406788077,0.11711794,0.975517356,0.158234823
385,1.984160993,0.078836398,1.489620618,0.140995827
390,1.514891343,0.107682039,1.399262197,0.240476822
395,1.232500474,0.126118185,2.725063609,0.13500929
400,1.583346232,0.095869088,2.267915403,0.208561904
405,2.074335473,0.099720675,2.985102897,0.143271514
410,2.087622117,0.116104681,2.697483446,0.108767038
415,2.00513447,0.119548635,2.859891704,0.203287593
425,2.524136555,0.081126681,1.519891969,0.286507699
430,2.459913518,0.106429375,1.173986522,0.17145321
435,2.715113122,0.101448698,0.586925113,0.132560033
445,2.418219814,0.11239564,1.553086758,0.140766449
450,2.460033008,0.110437456,2.027242809,0.242750081
455,2.469122745,0.124309108,1.009781762,0.186646054
465,2.5793921,0.105187094,1.649175278,0.237897255
470,2.456658646,0.097551296,1.905331599,0.341112666
475,1.976636549,0.073103101,3.088018373,0.451849961
480,2.298158706,0.0408443,2.096528411,0.103032474
500,1.988503654,0.106018746,2.91950834,0.437471017
505,2.289495148,0.10790966,2.772530754,0.224928489
510,2.072397747,0.092288025,2.724611756,0.218166597
515,2.098873507,0.142587606,2.523237319,0.265482928
520,2.366451749,0.055809449,2.197386025,0.251511601
525,2.442506208,0.113272251,1.784411932,0.243617868
530,2.426863867,0.1020194,2.294188481,0.238878748
535,2.325148781,0.0763772,2.218136107,0.325301403
540,2.265841146,0.063759012,1.757615722,0.117863351
